# Name	AO	GBT	AO_UWB	GBT_UWB	DSA2K_full	DSA2K_half	DSA2K_qtr	VLA_LS	ngVLA_Band12
J172636-360838	-2	331749.895229	-2	33006.7649983	281109.61948	282732.824294	289134.531821	28808.4198547	2145.15877416
J180933-143156	-2	295648.112027	-2	40342.6548689	281691.622964	281928.467045	282873.862285	30336.7812185	2552.76638822
J172408-384236	-2	293375.48833	-2	42126.2449023	282151.646532	282276.797597	282776.850437	30501.4855346	3363.63887777
J173959-295244	-2	302754.277911	-2	25913.6283939	282356.932262	282385.726715	282500.915359	23074.0934892	717.814973344
J185804+011952	107354.890532	294880.207226	37201.3577923	42615.7064189	282587.933549	282753.821447	283416.404546	31398.0682328	5024.62233505
J182942-161439	-2	288790.372229	-2	34699.4081883	283215.746511	283286.094808	283567.322974	26563.2363406	2153.92869702
J183030-104637	-2	310728.049341	-2	33164.9993786	283753.617325	284439.421688	287166.26289	28766.9065943	2505.42311348
J171057-381519	-2	303850.615062	-2	56099.1676953	283890.30056	284080.584353	284840.450826	37851.5107741	11748.8347627
J174852-244651	-2	291439.092641	-2	37403.5572082	284062.038538	284106.394862	284283.765712	29743.5793255	3873.71472512
J173654-314557	-2	407089.838993	-2	41749.6903345	284108.401353	288669.822373	306236.83151	38808.6791893	4735.68837582
J192416+174511	108351.774305	296122.121367	33411.9738301	38394.3490846	287127.716125	287297.413357	287975.206147	27947.0661652	2980.69608257
J174915-301645	-2	352886.627656	-2	31832.7001463	288023.408648	289981.110417	297683.198332	29483.4267195	2609.28824218
J172444-381428	-2	296443.224121	-2	34514.6205331	289861.470419	289865.757993	289883.090471	28537.767607	2172.17580727
J174533-281740	-2	311718.79001	-2	31785.9375804	290103.327247	290525.122285	292206.216368	28013.7451059	2143.98221606
J173550-330926	-2	346800.737969	-2	33435.0180068	291322.760887	293043.060279	299825.569468	29916.4577915	2108.10266126
J171813-374018	-2	336934.441535	-2	34936.6637187	291759.343018	293112.950322	298465.997251	30585.9447462	1786.1213252
J180944-264918	-2	333405.120064	-2	60061.6410916	292155.310492	293164.193129	297165.474117	40588.1509283	9806.3788558
J171339-412227	-2	302208.442935	-2	42215.3851471	293149.286169	293160.425887	293205.039929	32302.8050214	2730.84707607
J175755-243050	-2	329590.395666	-2	36501.4228198	293424.698801	294410.910782	298323.158455	32375.7764569	4982.65846976
J173253-295712	-2	336317.257635	-2	41802.8495209	294106.381841	295355.03064	300297.711475	34189.1865342	2937.20049144
J185028-025845	-2	302474.903469	-2	35853.5794518	294273.96683	294365.469509	294731.203041	28974.5827579	2578.97075934
J175810-245021	-2	308457.610468	-2	44240.2100005	294470.819378	294587.35909	295053.060327	34513.9940961	3487.9693964
J190735+100113	113149.216566	312008.97764	35369.0396826	40900.1179363	295036.873297	295425.746792	296976.150116	30640.8269005	2921.41128895
J183358-064854	-2	321264.17287	-2	35538.6411701	295714.743278	296408.360367	299166.748699	29726.500623	2628.14171827
J173118-283934	-2	311713.512209	-2	61180.4134889	296271.700764	296278.314806	296304.817476	37965.6691968	13983.6592923
